"id","title","description","director","star1","star2","poster_url","release_date","imdb_rating","our_rating"
"519","Mimi wo sumaseba","Shizuku lives a simple life, dominated by her love for stories and writing. One day she notices that all the library books she has have been previously checked out by the same person: 'Seiji Amasawa'.","Yoshifumi KondÃ´","Yoko Honna","Issey Takahashi","/rphor0XQcYO4CQoQ6auaQm3UPap.jpg",,"7.9","0"
"522","Trois couleurs: Bleu","The wife of a famous composer survives a car accident that kills her husband and daughter. Now alone, she shakes off her old identity and explores her newfound freedom but finds that she is unbreakably bound to other humans, including her husband’s mistress, whose existence she never suspected.","Krzysztof Kieslowski","Juliette Binoche","Zbigniew Zamachowski","/y9N5tFCxCi2AIedOhU3OrVMfL2d.jpg",,"7.9","0"
"524","Carlito's Way","A Puerto-Rican ex-con, just released from prison, pledges to stay away from drugs and violence despite the pressure around him, and lead a better life outside NYC.","Brian De Palma","Al Pacino","Sean Penn","/38yjZWYBI0xxNqoBKiGyA4UZjk.jpg",,"7.9","0"
"526","My Left Foot: The Story of Christy Brown","No one expects much from Christy Brown, a boy with cerebral palsy born into a working-class Irish family. Though Christy is a spastic quadriplegic and essentially paralyzed, a miraculous event occurs when, at the age of 5, he demonstrates control of his left foot by using chalk to scrawl a word on the floor. With the help of his steely mother — and no shortage of grit and determination — Christy overcomes his infirmity to become a painter, poet and author.","Jim Sheridan","Daniel Day-Lewis","Brenda Fricker","/zjKg04EquTcnVZUfjHboXnXzjcF.jpg",,"7.9","0"
"527","Crimes and Misdemeanors","A renowned ophthalmologist is desperate to cut off an adulterous relationship…which ends up in murder; and a frustrated documentary filmmaker woos an attractive television producer while making a film about her insufferably self-centered boss.","Woody Allen","Martin Landau","Woody Allen","/xDPaSuwaOizRNPitEvNiuY7i6iE.jpg",,"7.9","0"
"531","This Is Spinal Tap","""This Is Spinal Tap"" shines a light on the self-contained universe of a metal band struggling to get back on the charts, including everything from its complicated history of ups and downs, gold albums, name changes and undersold concert dates, along with the full host of requisite groupies, promoters, hangers-on and historians, sessions, release events and those special behind-the-scenes moments that keep it all real.","Rob Reiner","Rob Reiner","Michael McKean","/qrt6e1X1EAjS1RmnBYyewFJk2n.jpg",,"7.9","0"
"532","A Christmas Story","Kat is an aspiring singer-songwriter who dreams of making it big. However, her dreams are stalled by her reality: a conniving and cruel stepfamily  and a demoralizing job working as a singing elf at billionaire Terrence Wintergarden’s Santa Land.","Bob Clark","Peter Billingsley","Melinda Dillon","/9O79JFP9C2DY8eQ653A2gDcrwkx.jpg",,"7.9","0"
"533","The Blues Brothers","Jake Blues, just released from prison, puts his old band back together to save the Catholic home where he and his brother Elwood were raised.","John Landis","John Belushi","Dan Aykroyd","/bk2fTuIhQIvdAA3RbnrnvLvuaTc.jpg",,"7.9","0"
"534","Manhattan","Manhattan explores how the life of a middle-aged television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.","Woody Allen","Woody Allen","Diane Keaton","/adnSTomHU9YyqV2lx38CgM0UxLS.jpg",,"7.9","0"
"536","Dawn of the Dead","A group of survivors take refuge in a shopping mall after the world is taken over by aggressive, flesh-eating zombies.","George A. Romero","David Emge","Ken Foree","/d3BTRD2Pslyr4uSvFdJEWtnrfws.jpg",,"7.9","0"
"537","All the President's Men","During the 1972 elections, two reporters' investigation sheds light on the controversial Watergate scandal that compels President Nixon to resign from his post.","Alan J. Pakula","Dustin Hoffman","Robert Redford","/p2U4wScUValTXnvikXy7kfQNDsH.jpg",,"7.9","0"
"539","Amarcord","In an Italian seaside town, young Titta gets into trouble with his friends and watches various local eccentrics as they engage in often absurd behavior. Frequently clashing with his stern father and defended by his doting mother, Titta witnesses the actions of a wide range of characters, from his extended family to Fascist loyalists to sensual women, with certain moments shifting into fantastical scenarios.","Federico Fellini","Magali NoÃ«l","Bruno Zanin","/iFQzlUmO5QmMPcSHHDdfd522x33.jpg",,"7.9","0"
"541","Aguirre, der Zorn Gottes","A few decades after the destruction of the Inca Empire, a Spanish expedition led by the infamous Aguirre leaves the mountains of Peru and goes down the Amazon River in search of the lost city of El Dorado. When great difficulties arise, Aguirre’s men start to wonder whether their quest will lead them to prosperity or certain death.","Werner Herzog","Klaus Kinski","Ruy Guerra","/kfSZaOr9ApNR52gWKlpXHD0id0W.jpg",,"7.9","0"
"543","Patton","""Patton"" tells the tale of General George S. Patton, famous tank commander of World War II. The film begins with Patton's career in North Africa and progresses through the invasion of Germany and the fall of the Third Reich. Side plots also speak of Patton's numerous faults such his temper and habit towards insubordination.","Franklin J. Schaffner","George C. Scott","Karl Malden","/txXPooNu7fr4YhLwx7AlXkU0PnN.jpg",,"7.9","0"
"544","The Wild Bunch","An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them.","Sam Peckinpah","William Holden","Ernest Borgnine","/cSHie9qJvujqN4tYq6gx88WDf7o.jpg",,"7.9","0"
"546","The Lion in Winter","Henry II and his estranged queen battle over the choice of an heir.","Anthony Harvey","Peter O'Toole","Katharine Hepburn","/u8EQqjCeaYDkgACV4mMfkPHLqpP.jpg",,"7.9","0"
"547","In the Heat of the Night","African-American Philadelphia police detective Virgil Tibbs is arrested on suspicion of murder by Bill Gillespie, the racist police chief of tiny Sparta, Mississippi. After Tibbs proves not only his own innocence but that of another man, he joins forces with Gillespie to track down the real killer. Their investigation takes them through every social level of the town, with Tibbs making enemies as well as unlikely friends as he hunts for the truth.","Norman Jewison","Sidney Poitier","Rod Steiger","/xY5sgU09cOsvEAgJZaYo2aOZEFi.jpg",,"7.9","0"
